[0.98999999999999999, u'french']
[0.64000000000000001, u'appreciation']
[0.64000000000000001, u'national']
[0.60999999999999999, u'sexual']
[0.59999999999999998, u'50']
[0.59999999999999998, u'pensions']
[0.59999999999999998, u'unsubstantiated']
[0.57999999999999996, u'distinction']
[0.57999999999999996, u'editorial']
[0.57999999999999996, u'terrorist']
[0.56999999999999995, u'series']
[0.56000000000000005, u'77']
[0.56000000000000005, u'burning']
[0.56000000000000005, u'homosexual']
[0.56000000000000005, u'leading']
[0.56000000000000005, u'paragraph']
[0.55000000000000004, u'accused']
[0.55000000000000004, u'racial']
[0.55000000000000004, u'treating']
[0.54000000000000004, u'child']
[0.54000000000000004, u'difference']
[0.54000000000000004, u'ties']
[0.54000000000000004, u'unanimously']
[0.54000000000000004, u'wedlock']
[0.53000000000000003, u'discriminatory']
[0.53000000000000003, u'incident']
[0.53000000000000003, u'killing']
[0.53000000000000003, u'marriage']
[0.53000000000000003, u'measure']
[0.53000000000000003, u'pursuant']
[0.52000000000000002, u'differences']
[0.52000000000000002, u'freedom']
[0.52000000000000002, u'homosexuality']
[0.52000000000000002, u'particular']
[0.52000000000000002, u'proportionality']
[0.52000000000000002, u'sentenced']
[0.52000000000000002, u'situations']
[0.51000000000000001, u'arising']
[0.51000000000000001, u'ballot']
[0.51000000000000001, u'curtail']
[0.51000000000000001, u'february']
[0.51000000000000001, u'investigations']
[0.51000000000000001, u'paternity']
[0.51000000000000001, u'pluralism']
[0.5, u'___']
[0.5, u'declared']
[0.5, u'exemption']
[0.5, u'investigation']
[0.5, u'presuppose']
[0.5, u'represented']
[0.5, u'section']
[0.48999999999999999, u'1978']
[0.48999999999999999, u'admissible']
[0.48999999999999999, u'ambit']
[0.48999999999999999, u'art']
[0.48999999999999999, u'correspondence']
[0.48999999999999999, u'diyarbak\u0131r']
[0.48999999999999999, u'expression']
[0.48999999999999999, u'identification']
[0.48999999999999999, u'petzold']
[0.48999999999999999, u'pp']
[0.48999999999999999, u'quelling']
[0.48999999999999999, u'realised']
[0.48999999999999999, u'sitting']
[0.47999999999999998, u'achieved']
[0.47999999999999998, u'andr\xe9']
[0.47999999999999998, u'existence']
[0.47999999999999998, u'forces']
[0.47999999999999998, u'groups']
[0.47999999999999998, u'implicated']
[0.47999999999999998, u'inflicted']
[0.47999999999999998, u'investigate']
[0.47999999999999998, u'pursue']
[0.46999999999999997, u'affected']
[0.46999999999999997, u'employers']
[0.46999999999999997, u'fact']
[0.46999999999999997, u'liras']
[0.46999999999999997, u'order']
[0.46999999999999997, u'presumptions']
[0.46999999999999997, u'worship']
[0.46000000000000002, u'complements']
[0.46000000000000002, u'emergency']
[0.46000000000000002, u'margin']
[0.46000000000000002, u'ministry']
[0.46000000000000002, u'question']
[0.46000000000000002, u'safeguarded']
[0.46000000000000002, u'weighty']
[0.45000000000000001, u'affairs']
[0.45000000000000001, u'behalf']
[0.45000000000000001, u'benefits']
[0.45000000000000001, u'complainant']
[0.45000000000000001, u'effected']
[0.45000000000000001, u'falls']
[0.45000000000000001, u'indicated']
[0.45000000000000001, u'insurrection']
[0.45000000000000001, u'married']
[0.45000000000000001, u'scheme']
[0.45000000000000001, u'vulnerability']
[0.44, u'adolescents']
[0.44, u'detained']
[0.44, u'differently']
[0.44, u'effect']
[0.44, u'eviction']
[0.44, u'owner']
[0.44, u'police']
[0.42999999999999999, u'applicable']
