[1.0, u'integrity']
[0.98999999999999999, u'publication']
[0.95999999999999996, u'parent']
[0.78000000000000003, u'represented']
[0.77000000000000002, u'parental']
[0.73999999999999999, u'competing']
[0.73999999999999999, u'paternity']
[0.70999999999999996, u'surveillance']
[0.69999999999999996, u'aliens']
[0.69999999999999996, u'editorial']
[0.68999999999999995, u'process']
[0.67000000000000004, u'_______']
[0.66000000000000003, u'censorship']
[0.65000000000000002, u'public']
[0.62, u'revision']
[0.60999999999999999, u'complements']
[0.60999999999999999, u'marriage']
[0.60999999999999999, u'reputation']
[0.59999999999999998, u'concept']
[0.59999999999999998, u'french']
[0.59999999999999998, u'homes']
[0.58999999999999997, u'achieve']
[0.58999999999999997, u'applicability']
[0.58999999999999997, u'business']
[0.58999999999999997, u'ireland']
[0.58999999999999997, u'measure']
[0.58999999999999997, u'nature']
[0.57999999999999996, u'foster']
[0.57999999999999996, u'humiliating']
[0.57999999999999996, u'manifestly']
[0.57999999999999996, u'premises']
[0.56999999999999995, u'curtailed']
[0.56999999999999995, u'ties']
[0.56000000000000005, u'2003']
[0.56000000000000005, u'contexts']
[0.56000000000000005, u'foreseeability']
[0.56000000000000005, u'sphere']
[0.56000000000000005, u'vacate']
[0.55000000000000004, u'adoption']
[0.55000000000000004, u'britain']
[0.55000000000000004, u'envelope']
[0.55000000000000004, u'expulsion']
[0.55000000000000004, u'homosexuality']
[0.55000000000000004, u'positive']
[0.55000000000000004, u'reside']
[0.55000000000000004, u'wrongfully']
[0.54000000000000004, u'eviction']
[0.54000000000000004, u'guardianship']
[0.54000000000000004, u'interception']
[0.54000000000000004, u'intrusion']
[0.54000000000000004, u'officer']
[0.54000000000000004, u'provisions']
[0.54000000000000004, u'remanded']
[0.54000000000000004, u'searches']
[0.53000000000000003, u'36505']
[0.53000000000000003, u'abstain']
[0.53000000000000003, u'adequate']
[0.53000000000000003, u'broad']
[0.53000000000000003, u'buried']
[0.53000000000000003, u'child']
[0.53000000000000003, u'competent']
[0.53000000000000003, u'domestic']
[0.53000000000000003, u'forces']
[0.53000000000000003, u'prisoners']
[0.53000000000000003, u'putative']
[0.53000000000000003, u'turkish']
[0.52000000000000002, u'beings']
[0.52000000000000002, u'files']
[0.52000000000000002, u'homosexual']
[0.52000000000000002, u'homosexuals']
[0.52000000000000002, u'lagergren']
[0.52000000000000002, u'privacy']
[0.52000000000000002, u'site']
[0.51000000000000001, u'2012']
[0.51000000000000001, u'77']
[0.51000000000000001, u'alien']
[0.51000000000000001, u'birth']
[0.51000000000000001, u'censored']
[0.51000000000000001, u'exhaustive']
[0.51000000000000001, u'hearings']
[0.51000000000000001, u'iii']
[0.51000000000000001, u'imprisonment']
[0.51000000000000001, u'injury']
[0.51000000000000001, u'prison']
[0.51000000000000001, u'relationships']
[0.51000000000000001, u'seizure']
[0.51000000000000001, u'series']
[0.5, u'2006']
[0.5, u'arguable']
[0.5, u'breach']
[0.5, u'citizens']
[0.5, u'coercion']
[0.5, u'commission']
[0.5, u'detention']
[0.5, u'imposes']
[0.5, u'inhabitants']
[0.5, u'just']
[0.5, u'offences']
[0.5, u'operative']
[0.5, u'petition']
[0.5, u'profession']
[0.5, u'surrounding']
[0.48999999999999999, u'absconding']
[0.48999999999999999, u'burning']
[0.48999999999999999, u'conversations']
[0.48999999999999999, u'data']
[0.48999999999999999, u'dna']
[0.48999999999999999, u'expression']
[0.48999999999999999, u'hindered']
[0.48999999999999999, u'ipso']
[0.48999999999999999, u'land']
[0.48999999999999999, u'margin']
[0.48999999999999999, u'parents']
[0.48999999999999999, u'polish']
[0.48999999999999999, u'pollution']
[0.48999999999999999, u'possessions']
[0.48999999999999999, u'searched']
[0.48999999999999999, u'sexual']
[0.48999999999999999, u'swiftness']
[0.47999999999999998, u'conferred']
[0.47999999999999998, u'confidentiality']
[0.47999999999999998, u'environmental']
[0.47999999999999998, u'hinder']
[0.47999999999999998, u'holidays']
[0.47999999999999998, u'ingredient']
[0.47999999999999998, u'medically']
[0.47999999999999998, u'prisoner']
[0.47999999999999998, u'regime']
[0.47999999999999998, u'region']
[0.47999999999999998, u'sir']
[0.46999999999999997, u'1988']
[0.46999999999999997, u'contravene']
[0.46999999999999997, u'flat']
[0.46999999999999997, u'grievances']
[0.46999999999999997, u'lithuanian']
[0.46999999999999997, u'nationality']
[0.46999999999999997, u'officio']
[0.46999999999999997, u'orientation']
[0.46999999999999997, u'seizures']
[0.46999999999999997, u'sentences']
[0.46999999999999997, u'upbringing']
[0.46000000000000002, u'boundaries']
[0.46000000000000002, u'conditioned']
[0.46000000000000002, u'ebi']
[0.46000000000000002, u'foresee']
[0.46000000000000002, u'lend']
[0.46000000000000002, u'obligations']
[0.46000000000000002, u'occupy']
[0.46000000000000002, u'properties']
[0.46000000000000002, u'safeguards']
[0.45000000000000001, u'2007']
[0.45000000000000001, u'biological']
[0.45000000000000001, u'deported']
[0.45000000000000001, u'diyarbak\u0131r']
[0.45000000000000001, u'german']
[0.45000000000000001, u'mutual']
[0.45000000000000001, u'notwithstanding']
[0.45000000000000001, u'punishment']
[0.45000000000000001, u'reliably']
[0.45000000000000001, u'remand']
[0.45000000000000001, u'section']
[0.45000000000000001, u'wedlock']
[0.44, u'abolish']
[0.44, u'apart']
[0.44, u'art']
[0.44, u'communications']
[0.44, u'evicted']
[0.44, u'expel']
[0.44, u'patients']
[0.44, u'pregnancy']
[0.44, u'secret']
[0.44, u'surname']
[0.44, u'susceptible']
[0.44, u'suspect']
[0.42999999999999999, u'abduction']
[0.42999999999999999, u'applicable']
[0.42999999999999999, u'arising']
[0.42999999999999999, u'chairman']
[0.42999999999999999, u'choose']
[0.42999999999999999, u'employment']
[0.42999999999999999, u'germany']
[0.42999999999999999, u'merits']
[0.42999999999999999, u'peaceful']
[0.42999999999999999, u'recalls']
[0.42999999999999999, u'registry']
[0.42999999999999999, u'rule']
[0.42999999999999999, u'seized']
[0.42999999999999999, u'square']
[0.42999999999999999, u'surnames']
[0.42999999999999999, u'village']
[0.41999999999999998, u'disclosure']
[0.41999999999999998, u'hannover']
[0.41999999999999998, u'incapable']
[0.41999999999999998, u'innsbruck']
[0.41999999999999998, u'residents']
[0.41999999999999998, u'spouse']
[0.41999999999999998, u'stored']
[0.41999999999999998, u'von']
[0.41999999999999998, u'writing']
[0.40999999999999998, u'2005']
[0.40999999999999998, u'appreciation']
[0.40999999999999998, u'arguments']
[0.40999999999999998, u'bodily']
[0.40999999999999998, u'consider']
[0.40999999999999998, u'existence']
[0.40999999999999998, u'graupner']
[0.40999999999999998, u'items']
[0.40999999999999998, u'man']
[0.40999999999999998, u'minimum']
[0.40999999999999998, u'paranoid']
[0.40999999999999998, u'pursues']
[0.40999999999999998, u'tenancy']
[0.40999999999999998, u'tie']
[0.40999999999999998, u'turkey']
[0.40000000000000002, u'admissible']
[0.40000000000000002, u'contributed']
[0.40000000000000002, u'monitoring']
[0.40000000000000002, u'op\u0107inski']
[0.40000000000000002, u'prisons']
[0.40000000000000002, u'protects']
[0.40000000000000002, u'release']
[0.40000000000000002, u'restitutio']
[0.40000000000000002, u'trl']
[0.39000000000000001, u'acquired']
[0.39000000000000001, u'convicted']
[0.39000000000000001, u'councils']
[0.39000000000000001, u'disciplinary']
[0.39000000000000001, u'discretion']
[0.39000000000000001, u'khan']
[0.39000000000000001, u'memorial']
[0.39000000000000001, u'nuisance']
[0.39000000000000001, u'proportionate']
[0.39000000000000001, u'sch\xfcrmann']
[0.39000000000000001, u'surgery']
[0.39000000000000001, u'terrorist']
[0.38, u'2004']
[0.38, u'compel']
[0.38, u'contacts']
[0.38, u'covert']
[0.38, u'defamatory']
[0.38, u'emissions']
[0.38, u'guardian']
[0.38, u'laid']
[0.38, u'names']
[0.38, u'notion']
[0.38, u'petzold']
[0.38, u'plus']
[0.38, u'precision']
[0.38, u'purchase']
[0.38, u'servants']
[0.38, u'spain']
[0.37, u'documentary']
[0.37, u'enjoyment']
[0.37, u'eur']
[0.37, u'integrum']
[0.37, u'irremediable']
[0.37, u'mehmet']
[0.37, u'sealed']
[0.37, u'unsuccessful']
