[0.83999999999999997, u'writing']
[0.69999999999999996, u'turkish']
[0.64000000000000001, u'lawful']
[0.63, u'bulgarian']
[0.58999999999999997, u'falls']
[0.57999999999999996, u'exceed']
[0.57999999999999996, u'federation']
[0.57999999999999996, u'paragraphs']
[0.56999999999999995, u'complained']
[0.56999999999999995, u'ukraine']
[0.56000000000000005, u'declared']
[0.56000000000000005, u'factor']
[0.56000000000000005, u'zaytsev']
[0.55000000000000004, u'central']
[0.55000000000000004, u'purpose']
[0.54000000000000004, u'12']
[0.54000000000000004, u'brogan']
[0.54000000000000004, u'deprived']
[0.54000000000000004, u'fixed']
[0.54000000000000004, u'liberty']
[0.54000000000000004, u'terrorism']
[0.54000000000000004, u'unspecified']
[0.53000000000000003, u'born']
[0.53000000000000003, u'communicate']
[0.53000000000000003, u'consequences']
[0.53000000000000003, u'exercise']
[0.53000000000000003, u'remained']
[0.53000000000000003, u'zlotys']
[0.52000000000000002, u'bail']
[0.52000000000000002, u'decide']
[0.52000000000000002, u'event']
[0.52000000000000002, u'force']
[0.52000000000000002, u'laptev']
[0.52000000000000002, u'reasonableness']
[0.52000000000000002, u'revision']
[0.51000000000000001, u'art']
[0.51000000000000001, u'centre']
[0.51000000000000001, u'conditions']
[0.51000000000000001, u'exceeded']
[0.51000000000000001, u'form']
[0.51000000000000001, u'like']
[0.51000000000000001, u'necessary']
[0.51000000000000001, u'offending']
[0.51000000000000001, u'qua']
[0.51000000000000001, u'sine']
[0.51000000000000001, u'stereotyped']
[0.5, u'2007']
[0.5, u'dismissed']
[0.5, u'genuine']
[0.5, u'satisfy']
[0.48999999999999999, u'arguments']
[0.48999999999999999, u'examining']
[0.48999999999999999, u'indications']
[0.48999999999999999, u'mrs']
[0.48999999999999999, u'partly']
[0.48999999999999999, u'party']
[0.48999999999999999, u'represented']
[0.47999999999999998, u'bulgaria']
[0.47999999999999998, u'criminal']
[0.47999999999999998, u'defence']
[0.47999999999999998, u'doll\xe9']
[0.47999999999999998, u'express']
