[1.0, u'doctor']
[0.98999999999999999, u'2009']
[0.97999999999999998, u'degree']
[0.91000000000000003, u'bodily']
[0.91000000000000003, u'consequences']
[0.91000000000000003, u'laptev']
[0.87, u'constituted']
[0.83999999999999997, u'declares']
[0.81999999999999995, u'editorial']
[0.79000000000000004, u'ukrainian']
[0.77000000000000002, u'assize']
[0.77000000000000002, u'zaytsev']
[0.75, u'section']
[0.72999999999999998, u'hospital']
[0.72999999999999998, u'revision']
[0.69999999999999996, u'french']
[0.68000000000000005, u'represented']
[0.66000000000000003, u'states']
[0.62, u'expulsion']
[0.60999999999999999, u'hit']
[0.60999999999999999, u'overcrowding']
[0.60999999999999999, u'pain']
[0.59999999999999998, u'admissible']
[0.59999999999999998, u'bruises']
[0.59999999999999998, u'consider']
[0.58999999999999997, u'brutality']
[0.58999999999999997, u'deported']
[0.58999999999999997, u'patient']
[0.58999999999999997, u'recalls']
[0.58999999999999997, u'underwent']
[0.57999999999999996, u'demands']
[0.57999999999999996, u'grounds']
[0.57999999999999996, u'levs']
[0.56999999999999995, u'absconding']
[0.56999999999999995, u'agents']
[0.56999999999999995, u'aware']
[0.56999999999999995, u'beaten']
[0.56999999999999995, u'convicted']
[0.56999999999999995, u'insurrection']
[0.56999999999999995, u'told']
[0.56000000000000005, u'extradition']
[0.56000000000000005, u'identification']
[0.56000000000000005, u'indirect']
[0.56000000000000005, u'moldova']
[0.56000000000000005, u'sanitary']
[0.56000000000000005, u'testimony']
[0.56000000000000005, u'violence']
[0.55000000000000004, u'abscond']
[0.55000000000000004, u'compatible']
[0.55000000000000004, u'duration']
[0.55000000000000004, u'harm']
[0.55000000000000004, u'limits']
[0.55000000000000004, u'quelling']
[0.54000000000000004, u'aggravation']
[0.54000000000000004, u'aliens']
[0.54000000000000004, u'asylum']
[0.54000000000000004, u'cause']
[0.54000000000000004, u'cell']
[0.54000000000000004, u'complainant']
[0.54000000000000004, u'danut\u0117']
[0.54000000000000004, u'debase']
[0.54000000000000004, u'euros']
[0.54000000000000004, u'expelled']
[0.54000000000000004, u'finding']
[0.54000000000000004, u'handcuffing']
[0.54000000000000004, u'inadmissible']
[0.54000000000000004, u'overcrowded']
[0.54000000000000004, u'respondent']
[0.54000000000000004, u'situations']
[0.54000000000000004, u'true']
[0.54000000000000004, u'writing']
[0.53000000000000003, u'agent']
[0.53000000000000003, u'amnesty']
[0.53000000000000003, u'born']
[0.53000000000000003, u'commission']
[0.53000000000000003, u'exposed']
[0.53000000000000003, u'humiliation']
[0.53000000000000003, u'imposed']
[0.53000000000000003, u'imposes']
[0.53000000000000003, u'inmates']
[0.53000000000000003, u'lighting']
[0.53000000000000003, u'ministers']
[0.53000000000000003, u'notion']
[0.53000000000000003, u'organisation']
[0.53000000000000003, u'petition']
[0.53000000000000003, u'prisoners']
[0.53000000000000003, u'villagers']
[0.52000000000000002, u'19']
[0.52000000000000002, u'acquitted']
[0.52000000000000002, u'bat\u0131']
[0.52000000000000002, u'bound']
[0.52000000000000002, u'bulgarian']
[0.52000000000000002, u'deterrent']
[0.52000000000000002, u'disease']
[0.52000000000000002, u'exceeding']
[0.52000000000000002, u'measure']
[0.52000000000000002, u'medicines']
[0.52000000000000002, u'moscow']
[0.52000000000000002, u'mrs']
[0.52000000000000002, u'nonetheless']
[0.52000000000000002, u'pkk']
[0.52000000000000002, u'police']
[0.52000000000000002, u'provide']
[0.52000000000000002, u'severity']
[0.52000000000000002, u'similar']
[0.51000000000000001, u'2013']
[0.51000000000000001, u'cm']
[0.51000000000000001, u'declared']
[0.51000000000000001, u'expel']
[0.51000000000000001, u'federation']
[0.51000000000000001, u'marginal']
[0.51000000000000001, u'partial']
[0.51000000000000001, u'preceding']
[0.51000000000000001, u'sex']
[0.51000000000000001, u'treaty']
[0.51000000000000001, u'turkey']
[0.5, u'confess']
[0.5, u'diagnosed']
[0.5, u'figures']
[0.5, u'guarantee']
[0.5, u'hand']
[0.5, u'hygienic']
[0.5, u'impossible']
[0.5, u'inquiry']
[0.5, u'perpetrator']
[0.5, u'terms']
[0.5, u'turkish']
[0.48999999999999999, u'abuse']
[0.48999999999999999, u'behaviour']
[0.48999999999999999, u'circumstances']
[0.48999999999999999, u'council']
[0.48999999999999999, u'crops']
[0.48999999999999999, u'disappearance']
[0.48999999999999999, u'disappearances']
[0.48999999999999999, u'disperse']
[0.48999999999999999, u'ebi']
[0.48999999999999999, u'effects']
[0.48999999999999999, u'hands']
[0.48999999999999999, u'indictment']
[0.48999999999999999, u'integrity']
[0.48999999999999999, u'legitimate']
[0.48999999999999999, u'penitentiary']
[0.48999999999999999, u'ranks']
[0.48999999999999999, u'terrorism']
[0.48999999999999999, u'tuberculosis']
[0.48999999999999999, u'unacknowledged']
[0.47999999999999998, u'18']
[0.47999999999999998, u'able']
[0.47999999999999998, u'arising']
[0.47999999999999998, u'authority']
[0.47999999999999998, u'damage']
[0.47999999999999998, u'difficulties']
[0.47999999999999998, u'gave']
[0.47999999999999998, u'grievance']
[0.47999999999999998, u'humiliating']
[0.47999999999999998, u'husband']
[0.47999999999999998, u'innocence']
[0.47999999999999998, u'inter']
[0.47999999999999998, u'liras']
[0.47999999999999998, u'means']
[0.47999999999999998, u'melnik']
[0.47999999999999998, u'partly']
[0.47999999999999998, u'persecution']
[0.47999999999999998, u'unanimously']
[0.47999999999999998, u'unrebutted']
[0.47999999999999998, u'ventilation']
[0.46999999999999997, u'1997']
[0.46999999999999997, u'2012']
[0.46999999999999997, u'_______']
[0.46999999999999997, u'admissibility']
[0.46999999999999997, u'beds']
[0.46999999999999997, u'britain']
[0.46999999999999997, u'considers']
[0.46999999999999997, u'course']
[0.46999999999999997, u'dignity']
[0.46999999999999997, u'europe']
[0.46999999999999997, u'hinder']
[0.46999999999999997, u'medication']
[0.46999999999999997, u'news']
[0.46999999999999997, u'pushed']
[0.46999999999999997, u'rate']
[0.46999999999999997, u'refugee']
[0.46999999999999997, u'remand']
[0.46999999999999997, u'resistance']
[0.46999999999999997, u'secondly']
[0.46999999999999997, u'series']
[0.46000000000000002, u'absence']
[0.46000000000000002, u'andr\xe1s']
[0.46000000000000002, u'bunk']
[0.46000000000000002, u'cells']
[0.46000000000000002, u'county']
[0.46000000000000002, u'danger']
[0.46000000000000002, u'diseases']
[0.46000000000000002, u'impair']
[0.46000000000000002, u'inferiority']
[0.46000000000000002, u'make']
[0.46000000000000002, u'past']
[0.46000000000000002, u'prosecution']
[0.46000000000000002, u'role']
[0.46000000000000002, u'space']
[0.46000000000000002, u'tolerance']
[0.46000000000000002, u'town']
[0.45000000000000001, u'17']
[0.45000000000000001, u'2003']
[0.45000000000000001, u'2007']
[0.45000000000000001, u'acts']
[0.45000000000000001, u'annexed']
[0.45000000000000001, u'bedding']
[0.45000000000000001, u'brought']
