[0.66000000000000003, u'enjoins']
[0.65000000000000002, u'cause']
[0.65000000000000002, u'obligations']
[0.60999999999999999, u'town']
[0.59999999999999998, u'award']
[0.58999999999999997, u'expert']
[0.57999999999999996, u'example']
[0.57999999999999996, u'hands']
[0.57999999999999996, u'patients']
[0.57999999999999996, u'proximity']
[0.57999999999999996, u'ruslan']
[0.56999999999999995, u'standpoint']
[0.56999999999999995, u'terminated']
[0.56000000000000005, u'concern']
[0.56000000000000005, u'died']
[0.56000000000000005, u'medication']
[0.56000000000000005, u'nina']
[0.56000000000000005, u'results']
[0.56000000000000005, u'unable']
[0.55000000000000004, u'arising']
[0.55000000000000004, u'concordant']
[0.55000000000000004, u'continuing']
[0.55000000000000004, u'lending']
[0.54000000000000004, u'criteria']
[0.54000000000000004, u'light']
[0.54000000000000004, u'prosecute']
[0.54000000000000004, u'revision']
[0.53000000000000003, u'1995']
[0.53000000000000003, u'g\xf6lc\xfckl\xfc']
[0.53000000000000003, u'intentional']
[0.53000000000000003, u'know']
[0.53000000000000003, u'likelihood']
[0.53000000000000003, u'preliminary']
[0.53000000000000003, u'provided']
[0.53000000000000003, u'reasonable']
[0.53000000000000003, u'turkish']
[0.52000000000000002, u'15']
[0.52000000000000002, u'danger']
[0.52000000000000002, u'excessive']
[0.52000000000000002, u'resulting']
[0.51000000000000001, u'2009']
[0.51000000000000001, u'agent']
[0.51000000000000001, u'opportunity']
[0.51000000000000001, u'positive']
[0.51000000000000001, u'subjected']
[0.51000000000000001, u'trained']
[0.5, u'accountable']
[0.5, u'degree']
[0.5, u'ingushetia']
[0.5, u'report']
[0.5, u'represented']
[0.5, u'treaty']
[0.5, u'unpunished']
[0.48999999999999999, u'25']
[0.48999999999999999, u'agents']
[0.48999999999999999, u'autopsy']
[0.48999999999999999, u'conclusion']
[0.48999999999999999, u'council']
[0.48999999999999999, u'declares']
[0.48999999999999999, u'delicti']
[0.48999999999999999, u'distinct']
[0.48999999999999999, u'fired']
[0.48999999999999999, u'furnish']
[0.48999999999999999, u'lives']
[0.48999999999999999, u'marginal']
[0.48999999999999999, u'policemen']
[0.48999999999999999, u'priorities']
[0.48999999999999999, u'suffered']
[0.47999999999999998, u'14']
[0.47999999999999998, u'cars']
[0.47999999999999998, u'commission']
[0.47999999999999998, u'founded']
[0.47999999999999998, u'indicate']
[0.47999999999999998, u'merits']
[0.47999999999999998, u'owing']
[0.47999999999999998, u'prevention']
[0.47999999999999998, u'provision']
[0.46999999999999997, u'concluded']
[0.46999999999999997, u'damages']
[0.46999999999999997, u'forensic']
[0.46999999999999997, u'gendarmerie']
